TransactionID,AccountID,TransactionDate,Amount,TransactionType,PaymentMode,Location,DeviceID,DeviceType,IP_Address,Merchant,FraudFlag,FraudType
T00040,A0012,03-05-2026 14:51,389493,Credit,NetBanking,Chennai,D12853,Tablet,10.130.1.111,CryptoX,Yes,Rapid Location Change
T00041,A0075,05-04-2026 01:27,8457,Debit,UPI,Bengaluru,D14159,Laptop,10.209.92.69,AppleStore,No,Normal
T00042,A0099,27-04-2026 11:57,49579,Credit,UPI,Chennai,D96742,iPhone,10.178.60.91,GooglePay,No,Normal
T00043,A0069,26-04-2026 16:08,555,Debit,NetBanking,Bengaluru,D98276,Tablet,10.194.117.126,Zomato,No,Normal
T00044,A0059,23-04-2026 04:17,14890,Debit,Wallet,Hyderabad,D12050,iPhone,10.105.34.51,AppleStore,No,Normal
T00045,A0077,03-04-2026 14:38,6480,Debit,UPI,Bengaluru,D67535,iPhone,10.111.28.71,AppleStore,No,Normal
T00046,A0065,19-04-2026 07:52,75611,Credit,NetBanking,Mumbai,D49552,iPhone,10.113.211.153,AppleStore,No,Normal
T00047,A0036,04-04-2026 17:37,23055,Credit,Wallet,Pune,D55143,Tablet,10.163.213.209,AppleStore,No,Normal
T00048,A0020,20-04-2026 12:11,62165,Debit,Card,Delhi,D28920,Tablet,10.29.211.213,CryptoX,No,Normal
T00049,A0072,04-05-2026 04:24,26751,Credit,UPI,Bengaluru,D58637,Android,10.97.26.137,Netflix,No,Normal
T00050,A0049,09-05-2026 19:02,24762,Debit,Wallet,Mumbai,D53642,Laptop,10.7.108.97,Flipkart,No,Normal
T00051,A0095,08-04-2026 23:48,79320,Debit,Wallet,Mumbai,D82362,Laptop,10.144.194.238,Zomato,No,Normal
T00052,A0069,23-04-2026 09:16,65279,Credit,UPI,Kolkata,D71537,Laptop,10.104.189.160,CryptoX,No,Normal
T00053,A0053,03-04-2026 18:55,19226,Debit,NetBanking,Hyderabad,D86550,Tablet,10.151.78.100,AppleStore,No,Normal
T00054,A0043,15-04-2026 12:36,65544,Credit,NetBanking,Kolkata,D74044,Tablet,10.235.86.180,Zomato,No,Normal
T00055,A0022,09-04-2026 23:34,71158,Debit,UPI,Kolkata,D19742,Android,10.3.211.70,Swiggy,No,Normal
T00056,A0081,15-04-2026 02:45,28768,Credit,NetBanking,Pune,D90980,Tablet,10.249.8.3,Amazon,No,Normal
T00057,A0069,06-05-2026 13:00,36110,Credit,UPI,Hyderabad,D98346,Tablet,10.91.54.49,CryptoX,No,Normal
T00058,A0068,10-04-2026 07:12,33184,Credit,NetBanking,Kolkata,D62022,Android,10.191.207.235,CryptoX,No,Normal
T00059,A0073,16-04-2026 22:14,10666,Debit,UPI,Bengaluru,D59710,Tablet,10.243.28.4,SteamGames,No,Normal
T00060,A0090,11-04-2026 02:31,84629,Credit,UPI,Hyderabad,D15577,iPhone,10.108.243.138,Paytm,No,Normal
T00061,A0006,05-04-2026 21:59,73960,Debit,Card,Kolkata,D51220,Android,10.106.73.203,CryptoX,No,Normal
T00062,A0010,20-04-2026 05:36,51107,Credit,Wallet,Kolkata,D28343,Android,10.177.27.50,BetZone,No,Normal
T00063,A0056,15-04-2026 02:21,80560,Credit,NetBanking,Pune,D93115,Laptop,10.230.251.116,ForexHub,No,Normal
T00064,A0046,06-05-2026 12:27,76891,Credit,UPI,Kolkata,D91083,Laptop,10.126.37.42,SteamGames,No,Normal
T00065,A0035,10-04-2026 12:45,20321,Credit,NetBanking,Delhi,D23965,Android,10.2.157.227,SteamGames,No,Normal
T00066,A0047,18-04-2026 03:08,56589,Credit,Wallet,Pune,D13442,Android,10.181.47.166,Swiggy,No,Normal
T00067,A0050,01-04-2026 09:26,11201,Debit,Card,Chennai,D59903,iPhone,10.71.137.154,ForexHub,No,Normal
T00068,A0035,02-05-2026 04:04,36270,Credit,NetBanking,Bengaluru,D20082,Laptop,10.128.126.253,Paytm,No,Normal
T00069,A0077,10-05-2026 06:29,40032,Debit,Wallet,Delhi,D91289,Tablet,10.168.225.171,Swiggy,No,Normal
T00070,A0056,09-05-2026 04:19,26426,Credit,NetBanking,Mumbai,D62198,Laptop,10.149.251.124,BetZone,No,Normal
T00071,A0042,25-04-2026 08:52,47943,Debit,Card,Hyderabad,D81516,iPhone,10.13.236.107,Paytm,No,Normal
T00072,A0057,19-04-2026 22:04,53727,Credit,Card,Chennai,D49692,iPhone,10.129.78.216,Casino247,No,Normal
T00073,A0049,05-04-2026 14:38,52634,Credit,UPI,Kolkata,D57124,Android,10.55.127.181,BetZone,No,Normal
T00074,A0022,10-05-2026 01:36,84869,Credit,NetBanking,Kolkata,D66420,Android,10.5.50.132,SteamGames,No,Normal
T00075,A0029,03-05-2026 23:33,75497,Debit,Wallet,Delhi,D61266,Tablet,10.77.176.12,BetZone,No,Normal
T00076,A0062,07-04-2026 09:26,15313,Debit,NetBanking,Delhi,D54966,Tablet,10.105.247.178,Flipkart,No,Normal
T00077,A0061,07-04-2026 14:46,41900,Debit,NetBanking,Pune,D25084,Android,10.175.55.84,GooglePay,No,Normal
T00078,A0095,16-04-2026 16:11,43483,Credit,Wallet,Mumbai,D63090,iPhone,10.95.221.202,Swiggy,No,Normal
T00079,A0004,10-05-2026 06:28,51065,Debit,Card,Mumbai,D46483,Android,10.52.95.187,Paytm,No,Normal
T00080,A0042,13-04-2026 14:07,462984,Credit,UPI,Delhi,D56135,Tablet,10.88.152.43,ForexHub,Yes,Crypto Transaction
T00081,A0087,09-04-2026 10:07,15428,Debit,NetBanking,Chennai,D28528,Tablet,10.214.70.196,Netflix,No,Normal
T00082,A0055,12-04-2026 15:40,84675,Debit,Card,Bengaluru,D47858,iPhone,10.95.161.230,AppleStore,No,Normal
T00083,A0080,04-04-2026 11:00,25675,Credit,Wallet,Bengaluru,D99744,Tablet,10.212.227.250,Swiggy,No,Normal
T00084,A0022,06-04-2026 18:01,29005,Credit,UPI,Delhi,D39470,Laptop,10.86.234.253,ForexHub,No,Normal
T00085,A0071,03-05-2026 03:36,71286,Credit,UPI,Kolkata,D67850,iPhone,10.217.52.126,Netflix,No,Normal
T00086,A0039,03-04-2026 14:16,11501,Credit,UPI,Kolkata,D41056,iPhone,10.179.219.84,Casino247,No,Normal
T00087,A0079,09-04-2026 06:52,7880,Credit,NetBanking,Hyderabad,D80617,iPhone,10.165.149.148,ForexHub,No,Normal
T00088,A0074,18-04-2026 16:57,12581,Debit,Wallet,Pune,D46349,iPhone,10.67.127.74,Casino247,No,Normal
T00089,A0092,21-04-2026 07:48,51572,Credit,Card,Hyderabad,D92890,Laptop,10.212.192.231,SteamGames,No,Normal
T00090,A0010,11-05-2026 02:25,36567,Credit,Wallet,Bengaluru,D52898,Android,10.47.234.183,AppleStore,No,Normal
T00091,A0009,05-05-2026 12:13,27867,Credit,NetBanking,Delhi,D47171,Laptop,10.66.248.175,Casino247,No,Normal
T00092,A0088,04-04-2026 01:06,60338,Debit,UPI,Kolkata,D30707,Tablet,10.233.0.219,ForexHub,No,Normal
T00093,A0026,09-04-2026 20:19,36016,Debit,NetBanking,Delhi,D20803,Laptop,10.84.26.202,Casino247,No,Normal
T00094,A0081,20-04-2026 23:44,56360,Debit,UPI,Pune,D37973,Tablet,10.39.67.115,Zomato,No,Normal
T00095,A0067,29-04-2026 00:00,15906,Credit,Card,Bengaluru,D19283,iPhone,10.196.45.52,Myntra,No,Normal
T00096,A0014,21-04-2026 11:56,50264,Debit,Card,Pune,D79534,Android,10.84.225.179,Swiggy,No,Normal
T00097,A0093,14-04-2026 20:47,80850,Credit,Card,Pune,D23168,iPhone,10.63.196.179,Paytm,No,Normal
T00098,A0055,21-04-2026 04:15,11142,Debit,NetBanking,Kolkata,D13515,Laptop,10.105.96.200,SteamGames,No,Normal
T00099,A0038,04-04-2026 07:31,31699,Credit,UPI,Hyderabad,D11581,Laptop,10.162.67.198,Flipkart,No,Normal
T00100,A0073,27-04-2026 11:34,61836,Debit,UPI,Hyderabad,D18851,Android,10.134.110.20,Swiggy,No,Normal
T00101,A0008,26-04-2026 16:18,65773,Credit,Wallet,Chennai,D62727,Android,10.78.142.42,AppleStore,No,Normal
T00102,A0040,06-04-2026 16:58,20465,Credit,Wallet,Hyderabad,D93138,Android,10.158.223.122,ForexHub,No,Normal
T00103,A0008,16-04-2026 02:59,59524,Debit,NetBanking,Chennai,D96252,iPhone,10.61.6.70,Flipkart,No,Normal
T00104,A0090,01-04-2026 05:31,67893,Credit,Card,Delhi,D26637,Laptop,10.60.15.171,CryptoX,No,Normal
T00105,A0055,18-04-2026 16:04,75682,Debit,Wallet,Bengaluru,D76949,Laptop,10.28.255.85,AppleStore,No,Normal
T00106,A0048,11-04-2026 08:49,88458,Debit,Card,Chennai,D76692,Android,10.22.6.125,BetZone,No,Normal
T00107,A0006,01-05-2026 11:24,23556,Debit,Wallet,Mumbai,D52179,iPhone,10.213.163.138,Swiggy,No,Normal
T00108,A0010,07-05-2026 11:07,7003,Debit,Card,Kolkata,D77603,Android,10.205.35.238,SteamGames,No,Normal
T00109,A0037,20-04-2026 10:05,1144,Credit,Card,Delhi,D83899,Laptop,10.124.237.188,GooglePay,No,Normal
T00110,A0076,02-05-2026 06:46,32229,Debit,UPI,Bengaluru,D13133,iPhone,10.177.4.171,CryptoX,No,Normal
T00111,A0001,25-04-2026 23:46,26995,Debit,Wallet,Bengaluru,D17850,iPhone,10.143.47.22,Flipkart,No,Normal
T00112,A0030,04-05-2026 13:44,60191,Debit,UPI,Hyderabad,D27499,Tablet,10.38.31.222,Myntra,No,Normal
T00113,A0085,09-04-2026 07:18,41388,Credit,NetBanking,Delhi,D69343,Laptop,10.119.38.103,Casino247,No,Normal
T00114,A0018,08-05-2026 03:09,59025,Credit,NetBanking,Bengaluru,D25825,Laptop,10.106.231.157,Swiggy,No,Normal
T00115,A0060,17-04-2026 03:05,39974,Debit,Card,Kolkata,D52964,iPhone,10.46.127.182,ForexHub,No,Normal
T00116,A0051,03-05-2026 01:43,22889,Debit,Wallet,Kolkata,D69270,iPhone,10.48.236.52,Netflix,No,Normal
T00117,A0018,08-04-2026 00:03,29235,Debit,Card,Kolkata,D62505,Laptop,10.43.132.38,ForexHub,No,Normal
T00118,A0003,05-04-2026 06:57,16980,Debit,NetBanking,Pune,D15596,Tablet,10.25.86.221,GooglePay,No,Normal
T00119,A0093,26-04-2026 15:01,56023,Debit,NetBanking,Mumbai,D34530,Laptop,10.143.228.76,SteamGames,No,Normal
T00120,A0005,10-05-2026 19:39,366002,Debit,UPI,Delhi,D60202,iPhone,10.214.102.127,ForexHub,Yes,Rapid Location Change
T00121,A0081,05-05-2026 00:24,47169,Credit,Wallet,Delhi,D84141,Laptop,10.198.138.92,AppleStore,No,Normal
T00122,A0004,21-04-2026 19:14,36922,Debit,Wallet,Hyderabad,D56849,iPhone,10.81.51.126,ForexHub,No,Normal
T00123,A0085,16-04-2026 08:34,7428,Debit,Wallet,Delhi,D32768,iPhone,10.121.162.183,ForexHub,No,Normal
T00124,A0076,02-04-2026 22:44,73973,Debit,Card,Kolkata,D74517,Laptop,10.89.251.19,BetZone,No,Normal
T00125,A0012,04-04-2026 07:38,69102,Credit,UPI,Delhi,D90495,iPhone,10.66.174.90,Amazon,No,Normal
T00126,A0042,04-04-2026 00:09,18666,Debit,NetBanking,Pune,D58967,Tablet,10.51.172.154,AppleStore,No,Normal
T00127,A0042,09-04-2026 05:46,83889,Credit,NetBanking,Mumbai,D83659,Laptop,10.114.89.193,ForexHub,No,Normal
T00128,A0040,19-04-2026 04:11,75182,Credit,UPI,Mumbai,D88956,Laptop,10.113.53.254,Amazon,No,Normal
T00129,A0019,22-04-2026 23:04,41979,Debit,UPI,Kolkata,D97821,Laptop,10.228.5.135,Myntra,No,Normal
T00130,A0027,16-04-2026 22:04,14260,Debit,UPI,Bengaluru,D67438,Tablet,10.85.211.252,Netflix,No,Normal
T00131,A0049,23-04-2026 17:24,62947,Debit,Card,Bengaluru,D19661,Android,10.150.10.163,Casino247,No,Normal
T00132,A0034,07-04-2026 02:21,21190,Debit,UPI,Delhi,D87860,Tablet,10.15.220.84,Paytm,No,Normal
T00133,A0078,28-04-2026 05:03,27041,Debit,Wallet,Chennai,D82628,Laptop,10.144.152.121,Myntra,No,Normal
T00134,A0013,04-04-2026 12:36,64449,Debit,UPI,Delhi,D10500,Tablet,10.44.150.245,Casino247,No,Normal
T00135,A0026,07-04-2026 00:13,38348,Debit,Wallet,Kolkata,D25139,Laptop,10.203.241.250,SteamGames,No,Normal
T00136,A0085,17-04-2026 02:41,24332,Credit,Wallet,Delhi,D34455,Tablet,10.22.134.225,Paytm,No,Normal
T00137,A0060,17-04-2026 07:53,8179,Debit,UPI,Pune,D97574,Laptop,10.211.116.31,BetZone,No,Normal
T00138,A0050,04-05-2026 13:34,62336,Debit,Wallet,Delhi,D20348,Tablet,10.17.75.61,Casino247,No,Normal
T00139,A0097,29-04-2026 05:10,25360,Debit,UPI,Bengaluru,D20271,Tablet,10.103.75.132,ForexHub,No,Normal
T00140,A0041,05-04-2026 02:24,72458,Credit,NetBanking,Hyderabad,D70051,Android,10.214.57.212,Paytm,No,Normal
T00141,A0020,10-04-2026 18:37,13233,Debit,UPI,Kolkata,D47498,Laptop,10.210.135.196,ForexHub,No,Normal
T00142,A0084,02-05-2026 18:38,22670,Credit,Wallet,Mumbai,D91034,Tablet,10.19.202.169,Amazon,No,Normal
T00143,A0089,16-04-2026 01:47,48916,Debit,NetBanking,Kolkata,D49722,Laptop,10.143.251.50,Netflix,No,Normal
T00144,A0030,09-04-2026 09:47,42156,Credit,Wallet,Hyderabad,D94614,Android,10.96.226.108,ForexHub,No,Normal
T00145,A0053,02-05-2026 16:55,7467,Debit,UPI,Delhi,D76426,Tablet,10.69.14.88,Casino247,No,Normal
T00146,A0025,13-04-2026 01:15,6726,Credit,Card,Delhi,D58280,Tablet,10.203.63.15,GooglePay,No,Normal
T00147,A0031,24-04-2026 15:38,62304,Credit,NetBanking,Mumbai,D43903,Android,10.145.14.197,Swiggy,No,Normal
T00148,A0007,11-04-2026 18:49,29112,Debit,Card,Delhi,D95404,Tablet,10.10.4.242,Casino247,No,Normal
T00149,A0017,12-04-2026 19:51,33181,Credit,NetBanking,Bengaluru,D59345,Laptop,10.235.129.111,Zomato,No,Normal
T00150,A0060,20-04-2026 21:33,52155,Debit,UPI,Hyderabad,D96816,Laptop,10.144.152.55,BetZone,No,Normal
T00151,A0062,05-04-2026 10:17,36391,Credit,NetBanking,Mumbai,D29651,iPhone,10.29.206.163,Myntra,No,Normal
T00152,A0088,09-04-2026 23:01,38845,Credit,Wallet,Bengaluru,D60891,Android,10.97.175.113,GooglePay,No,Normal
T00153,A0088,05-05-2026 20:50,47088,Credit,Card,Kolkata,D96194,iPhone,10.150.49.241,SteamGames,No,Normal
T00154,A0017,17-04-2026 23:51,24095,Credit,UPI,Mumbai,D56567,iPhone,10.157.215.169,ForexHub,No,Normal
T00155,A0048,17-04-2026 18:18,15537,Credit,UPI,Kolkata,D93151,Android,10.241.99.61,Casino247,No,Normal
T00156,A0088,25-04-2026 16:19,19862,Debit,Card,Delhi,D63633,Tablet,10.73.161.92,Amazon,No,Normal
T00157,A0100,06-04-2026 15:21,41179,Debit,UPI,Bengaluru,D45851,iPhone,10.86.81.250,Swiggy,No,Normal
T00158,A0098,06-04-2026 04:39,56383,Credit,Wallet,Bengaluru,D60242,Android,10.19.102.191,SteamGames,No,Normal
T00159,A0002,21-04-2026 16:12,640,Debit,Card,Chennai,D55134,Laptop,10.66.52.196,SteamGames,No,Normal
T00160,A0065,08-05-2026 09:10,302477,Credit,Wallet,Chennai,D27536,Laptop,10.250.183.96,ForexHub,Yes,Crypto Transaction
T00161,A0022,26-04-2026 00:14,17297,Debit,UPI,Hyderabad,D76143,iPhone,10.63.187.19,AppleStore,No,Normal
T00162,A0049,11-05-2026 08:49,6468,Debit,UPI,Chennai,D12587,Android,10.59.213.227,BetZone,No,Normal
T00163,A0049,08-04-2026 17:16,20170,Debit,UPI,Delhi,D65164,Android,10.138.70.214,AppleStore,No,Normal
T00164,A0014,03-05-2026 23:39,15043,Debit,Wallet,Mumbai,D89823,iPhone,10.134.103.183,Netflix,No,Normal
T00165,A0091,27-04-2026 09:10,65158,Debit,Wallet,Delhi,D40737,Android,10.6.45.56,CryptoX,No,Normal
T00166,A0074,02-05-2026 04:05,9936,Debit,NetBanking,Chennai,D40298,Tablet,10.151.135.237,CryptoX,No,Normal
T00167,A0007,07-04-2026 05:55,38185,Credit,NetBanking,Bengaluru,D25191,Android,10.23.4.70,Casino247,No,Normal
T00168,A0085,11-04-2026 10:22,81601,Credit,UPI,Delhi,D54921,iPhone,10.58.205.204,GooglePay,No,Normal
T00169,A0059,18-04-2026 12:44,55378,Debit,UPI,Mumbai,D17686,iPhone,10.53.213.247,GooglePay,No,Normal
T00170,A0073,29-04-2026 05:39,47102,Debit,Card,Bengaluru,D73979,Android,10.210.225.23,ForexHub,No,Normal
T00171,A0009,17-04-2026 20:20,88957,Debit,NetBanking,Hyderabad,D78564,Android,10.221.127.246,AppleStore,No,Normal
T00172,A0045,25-04-2026 04:53,80435,Debit,UPI,Chennai,D30568,Tablet,10.253.84.38,CryptoX,No,Normal
T00173,A0097,02-05-2026 10:15,6699,Debit,Wallet,Bengaluru,D40801,Android,10.235.227.229,Netflix,No,Normal
T00174,A0012,02-05-2026 14:20,85738,Debit,UPI,Bengaluru,D64046,Android,10.0.46.155,GooglePay,No,Normal
T00175,A0066,06-05-2026 06:41,44776,Credit,UPI,Kolkata,D39218,Tablet,10.169.242.186,GooglePay,No,Normal
T00176,A0092,29-04-2026 03:06,29164,Debit,NetBanking,Delhi,D93055,Laptop,10.191.54.23,SteamGames,No,Normal
T00177,A0022,02-05-2026 04:52,53736,Debit,NetBanking,Hyderabad,D35679,iPhone,10.61.201.110,AppleStore,No,Normal
T00178,A0059,13-04-2026 22:21,54425,Debit,UPI,Kolkata,D69048,Tablet,10.68.255.2,ForexHub,No,Normal
T00179,A0068,04-04-2026 17:59,76792,Credit,Card,Chennai,D85832,iPhone,10.65.53.198,Casino247,No,Normal
T00180,A0085,09-05-2026 19:56,50518,Credit,Card,Delhi,D62149,Laptop,10.150.231.68,CryptoX,No,Normal
T00181,A0018,27-04-2026 19:44,67247,Credit,NetBanking,Chennai,D82559,iPhone,10.102.107.148,AppleStore,No,Normal
T00182,A0088,23-04-2026 21:08,23406,Credit,UPI,Kolkata,D56168,Tablet,10.213.146.216,SteamGames,No,Normal
T00183,A0002,04-05-2026 03:01,7055,Debit,Card,Delhi,D31094,Laptop,10.128.74.31,Swiggy,No,Normal
T00184,A0089,19-04-2026 06:48,47113,Credit,UPI,Hyderabad,D98542,iPhone,10.199.121.147,Amazon,No,Normal
T00185,A0089,04-04-2026 12:24,89903,Credit,UPI,Pune,D42943,iPhone,10.226.115.188,ForexHub,No,Normal
T00186,A0097,08-05-2026 17:47,25462,Credit,Wallet,Mumbai,D99477,Android,10.95.88.61,Zomato,No,Normal
T00187,A0049,03-04-2026 13:17,17148,Debit,NetBanking,Pune,D53327,Tablet,10.79.20.78,Netflix,No,Normal
T00188,A0042,09-05-2026 01:49,80789,Credit,Wallet,Kolkata,D85061,Laptop,10.37.162.112,SteamGames,No,Normal
T00189,A0024,04-05-2026 02:50,54616,Credit,UPI,Delhi,D38992,iPhone,10.169.169.184,Swiggy,No,Normal
T00190,A0038,14-04-2026 19:33,85205,Debit,UPI,Chennai,D55351,Tablet,10.123.124.20,CryptoX,No,Normal
T00191,A0088,21-04-2026 12:58,50677,Credit,NetBanking,Pune,D77746,Laptop,10.228.249.22,Flipkart,No,Normal
T00192,A0038,13-04-2026 10:32,22040,Debit,UPI,Mumbai,D97862,iPhone,10.217.53.105,Flipkart,No,Normal
T00193,A0069,28-04-2026 20:52,20252,Debit,Wallet,Chennai,D53478,Android,10.44.37.27,AppleStore,No,Normal
T00194,A0023,17-04-2026 17:04,29937,Credit,Wallet,Bengaluru,D69129,Tablet,10.221.161.8,Casino247,No,Normal
T00195,A0050,08-04-2026 17:00,81148,Debit,UPI,Chennai,D19514,Laptop,10.54.148.154,AppleStore,No,Normal
T00196,A0078,06-04-2026 09:48,50092,Credit,UPI,Bengaluru,D30489,iPhone,10.69.200.151,GooglePay,No,Normal
T00197,A0082,10-04-2026 09:43,85026,Credit,UPI,Hyderabad,D82754,iPhone,10.63.21.2,ForexHub,No,Normal
T00198,A0074,09-05-2026 12:34,40036,Debit,NetBanking,Mumbai,D64087,iPhone,10.82.94.113,Flipkart,No,Normal
T00199,A0079,17-04-2026 06:07,74456,Debit,Wallet,Chennai,D82045,Android,10.148.34.128,SteamGames,No,Normal
T00200,A0013,13-04-2026 00:37,493656,Credit,UPI,Mumbai,D51652,Tablet,10.230.168.156,BetZone,Yes,Midnight Transaction
T00201,A0089,08-05-2026 04:36,41562,Credit,Card,Pune,D51053,iPhone,10.113.223.141,Myntra,No,Normal
T00202,A0047,09-04-2026 21:46,60766,Credit,NetBanking,Kolkata,D50038,Tablet,10.55.89.41,GooglePay,No,Normal
T00203,A0036,09-04-2026 17:12,82232,Debit,UPI,Pune,D76476,Android,10.207.108.18,AppleStore,No,Normal
T00204,A0071,17-04-2026 17:57,85809,Debit,NetBanking,Bengaluru,D39269,Laptop,10.68.237.46,GooglePay,No,Normal
T00205,A0051,24-04-2026 16:00,80582,Debit,Card,Bengaluru,D30869,iPhone,10.74.247.183,Zomato,No,Normal
T00206,A0006,15-04-2026 15:14,48522,Debit,UPI,Chennai,D37102,Laptop,10.198.240.232,Netflix,No,Normal
T00207,A0006,03-04-2026 20:20,68437,Credit,NetBanking,Hyderabad,D81349,iPhone,10.192.193.187,AppleStore,No,Normal
T00208,A0076,05-04-2026 16:16,67781,Credit,NetBanking,Kolkata,D55224,Tablet,10.246.3.71,Zomato,No,Normal
T00209,A0057,11-04-2026 07:04,36906,Debit,Card,Mumbai,D30625,Laptop,10.60.117.212,SteamGames,No,Normal
T00210,A0043,08-04-2026 15:43,27717,Debit,Wallet,Pune,D41938,Android,10.65.82.68,GooglePay,No,Normal
T00211,A0081,03-05-2026 01:57,7428,Debit,NetBanking,Mumbai,D77717,Tablet,10.9.145.43,Swiggy,No,Normal
T00212,A0028,29-04-2026 19:30,22456,Debit,Wallet,Hyderabad,D28705,iPhone,10.135.85.175,GooglePay,No,Normal
T00213,A0059,09-05-2026 18:04,50623,Debit,UPI,Pune,D36522,Tablet,10.76.49.90,Paytm,No,Normal
T00214,A0061,10-05-2026 19:02,69755,Debit,UPI,Bengaluru,D96427,iPhone,10.0.220.215,ForexHub,No,Normal
